[0/100][0/1000] Loss_D:1.7228 | Loss_G:4.3659
[0/100][50/1000] Loss_D:0.6846 | Loss_G:6.6127
[0/100][100/1000] Loss_D:0.5660 | Loss_G:6.4677
[0/100][150/1000] Loss_D:0.1358 | Loss_G:6.6524
[0/100][200/1000] Loss_D:1.1906 | Loss_G:2.9072
[0/100][250/1000] Loss_D:1.2789 | Loss_G:2.0657
[0/100][300/1000] Loss_D:2.0313 | Loss_G:3.9868
[0/100][350/1000] Loss_D:0.6249 | Loss_G:3.5185
[0/100][400/1000] Loss_D:0.8215 | Loss_G:6.1009
[0/100][450/1000] Loss_D:0.5992 | Loss_G:4.2812
[0/100][500/1000] Loss_D:2.6647 | Loss_G:7.6758
[0/100][550/1000] Loss_D:1.0056 | Loss_G:2.6372
[0/100][600/1000] Loss_D:1.1839 | Loss_G:4.7320
[0/100][650/1000] Loss_D:0.7325 | Loss_G:2.0899
[0/100][700/1000] Loss_D:1.4290 | Loss_G:5.8159
[0/100][750/1000] Loss_D:1.0578 | Loss_G:2.4978
[0/100][800/1000] Loss_D:1.1542 | Loss_G:1.6308
[0/100][850/1000] Loss_D:1.5403 | Loss_G:3.5903
[0/100][900/1000] Loss_D:1.1439 | Loss_G:3.0404
[0/100][950/1000] Loss_D:1.0423 | Loss_G:1.7415
[1/100][0/1000] Loss_D:0.8086 | Loss_G:2.3674
[1/100][50/1000] Loss_D:0.9797 | Loss_G:2.2963
[1/100][100/1000] Loss_D:0.8264 | Loss_G:2.7906
[1/100][150/1000] Loss_D:0.8431 | Loss_G:2.2900
[1/100][200/1000] Loss_D:0.9914 | Loss_G:3.3376
[1/100][250/1000] Loss_D:0.8239 | Loss_G:1.4360
[1/100][300/1000] Loss_D:0.8550 | Loss_G:4.3356
[1/100][350/1000] Loss_D:0.6255 | Loss_G:2.4985
[1/100][400/1000] Loss_D:0.5538 | Loss_G:2.1800
[1/100][450/1000] Loss_D:0.6970 | Loss_G:3.8648
[1/100][500/1000] Loss_D:1.2932 | Loss_G:1.1067
[1/100][550/1000] Loss_D:0.5272 | Loss_G:3.6727
[1/100][600/1000] Loss_D:0.4279 | Loss_G:3.0094
[1/100][650/1000] Loss_D:0.7977 | Loss_G:1.7793
[1/100][700/1000] Loss_D:1.3839 | Loss_G:4.6220
[1/100][750/1000] Loss_D:0.9288 | Loss_G:4.5147
[1/100][800/1000] Loss_D:0.6953 | Loss_G:2.7365
[1/100][850/1000] Loss_D:0.8488 | Loss_G:5.1920
[1/100][900/1000] Loss_D:1.4175 | Loss_G:1.4269
[1/100][950/1000] Loss_D:0.8957 | Loss_G:1.7927
[2/100][0/1000] Loss_D:0.8492 | Loss_G:3.2875
[2/100][50/1000] Loss_D:0.7470 | Loss_G:2.3914
[2/100][100/1000] Loss_D:1.2991 | Loss_G:4.5122
[2/100][150/1000] Loss_D:0.8528 | Loss_G:3.0558
[2/100][200/1000] Loss_D:1.0820 | Loss_G:1.1243
[2/100][250/1000] Loss_D:0.9379 | Loss_G:1.9138
[2/100][300/1000] Loss_D:0.7013 | Loss_G:1.5495
[2/100][350/1000] Loss_D:0.7525 | Loss_G:2.8668
[2/100][400/1000] Loss_D:0.7930 | Loss_G:1.3055
[2/100][450/1000] Loss_D:0.8325 | Loss_G:2.3369
[2/100][500/1000] Loss_D:0.9678 | Loss_G:1.4259
[2/100][550/1000] Loss_D:0.8222 | Loss_G:3.3487
[2/100][600/1000] Loss_D:0.8794 | Loss_G:3.5989
[2/100][650/1000] Loss_D:0.9023 | Loss_G:1.1139
[2/100][700/1000] Loss_D:0.9372 | Loss_G:1.6643
[2/100][750/1000] Loss_D:0.7265 | Loss_G:3.4353
[2/100][800/1000] Loss_D:0.7130 | Loss_G:1.7644
[2/100][850/1000] Loss_D:1.0057 | Loss_G:0.9697
[2/100][900/1000] Loss_D:0.7624 | Loss_G:1.4841
[2/100][950/1000] Loss_D:1.0326 | Loss_G:3.3050
[3/100][0/1000] Loss_D:0.7639 | Loss_G:1.4038
[3/100][50/1000] Loss_D:0.6218 | Loss_G:2.5349
[3/100][100/1000] Loss_D:0.8523 | Loss_G:2.1773
[3/100][150/1000] Loss_D:0.8009 | Loss_G:1.6083
[3/100][200/1000] Loss_D:0.7178 | Loss_G:3.7028
[3/100][250/1000] Loss_D:0.8751 | Loss_G:1.7509
[3/100][300/1000] Loss_D:0.9703 | Loss_G:2.6744
[3/100][350/1000] Loss_D:0.9398 | Loss_G:3.6640
[3/100][400/1000] Loss_D:0.7096 | Loss_G:2.0076
[3/100][450/1000] Loss_D:0.8838 | Loss_G:1.2368
[3/100][500/1000] Loss_D:1.1338 | Loss_G:0.9136
[3/100][550/1000] Loss_D:0.9037 | Loss_G:3.5496
[3/100][600/1000] Loss_D:1.4307 | Loss_G:1.0967
[3/100][650/1000] Loss_D:0.8883 | Loss_G:3.2841
[3/100][700/1000] Loss_D:0.8247 | Loss_G:1.9506
[3/100][750/1000] Loss_D:0.9124 | Loss_G:3.0388
[3/100][800/1000] Loss_D:0.7847 | Loss_G:1.9740
[3/100][850/1000] Loss_D:0.9537 | Loss_G:3.3177
[3/100][900/1000] Loss_D:0.7815 | Loss_G:1.8995
[3/100][950/1000] Loss_D:0.8035 | Loss_G:1.8387
